t,adc
0,14
0.0001122,19
0.0002244,379
0.0003366,379
0.0004488,379
0.000561,344
0.0006732,339
0.0007854,341
0.0008976,25
0.0010098,5
0.001122,2
0.0012342,14
0.0013464,17
0.0014586,379
0.0015708,379
0.001683,379
0.0017952,345
0.0019074,339
0.0020196,341
0.0021318,25
0.002244,5
0.0023562,4
0.0024684,13
0.0025806,17
0.0026928,379
0.002805,379
0.0029172,379
0.0030294,346
0.0031416,339
0.0032538,341
0.003366,25
0.0034782,5
0.0035904,2
0.0037026,13
0.0038148,17
0.003927,379
0.0040392,379
0.0041514,379
0.0042636,346
0.0043758,339
0.004488,341
0.0046002,23
0.0047124,5
0.0048246,4
0.0049368,13
0.005049,17
0.0051612,379
0.0052734,379
0.0053856,380
0.0054978,347
0.00561,339
0.0057222,341
0.0058344,23
0.0059466,5
0.0060588,4
0.006171,13
0.0062832,17
0.0063954,379
0.0065076,379
0.0066198,380
0.006732,347
0.0068442,339
0.0069564,342
0.0070686,23
0.0071808,5
0.007293,4
0.0074052,13
0.0075174,15
0.0076296,379
0.0077418,380
0.007854,380
0.0079662,347
0.0080784,339
0.0081906,341
0.0083028,23
0.008415,6
0.0085272,3
0.0086394,13
0.0087516,15
0.0088638,379
0.008976,380
0.0090882,379
0.0092004,346
0.0093126,339
0.0094248,341
0.009537,23
0.0096492,5
0.0097614,3
0.0098736,13
0.0099858,15
0.010098,379
0.0102102,379
0.0103224,380
0.0104346,346
0.0105468,339
0.010659,341
0.0107712,23
0.0108834,5
0.0109956,4
0.0111078,13
0.01122,16
0.0113322,379
0.0114444,380
0.0115566,379
0.0116688,344
0.011781,339
0.0118932,341
0.0120054,23
0.0121176,5
0.0122298,4
0.012342,12
0.0124542,15
0.0125664,379
0.0126786,380
0.0127908,379
0.012903,343
0.0130152,339
0.0131274,341
0.0132396,23
0.0133518,5
0.013464,3
0.0135762,13
0.0136884,15
0.0138006,379
0.0139128,379
0.014025,379
0.0141372,342
0.0142494,339
0.0143616,341
0.0144738,23
0.014586,5
0.0146982,4
